terminology,readcode,readterm
-, 246.., - 
- 2461, -
-, 2462, -
-, 2463, -
-, 2464, -
-, 2465, -
-, 2466, -
-, 2467,- 
-, 2469,-
-, 246A, -
-, 246B, -
-, 246C, -
-, 246D, -
-, 246E, -
-, 246F, -
-, 246G, -
-, 246J,-
-, 246N, -
-, 246P, -
-, 246Q, -
-, 246R, -
-, 246S, -
-, 246V, -
-, 246W, -
-, 246X, -
-, 246Y, -
-, 246c, -
-, 246d, -
-, 246g, -
-, XaF4F, - 
-, XaF4L, -
-, XaF4O, -
-, XaF4S, -
-, XaF4a, -
-, XaF4b,-
-, XaJ2E, -
-, XaJ2F, -
-, XaJ2G, -
-, XaJ2H, -
-, XaKFw,-
-, XaKFx,- 
-, G20.., -
